modelo,ganancia_media,ganancia_std,ganancia_p5,ganancia_p95,fecha
Modelo Final - Test con Historicas - Prueba Git desde VM,187549500.0,10132303.69412603,170415000.0,203201000.0,2025-10-15 01:32:17.314760
Modelo Final - Test con Historicas - Prueba Git desde VM,186470740.0,10313208.00975138,169479000.0,203882000.0,2025-10-15 02:14:50.966073
