trial_number,ganancia,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,num_boost_round,pos_bagging_fraction,neg_bagging_fraction,value
46,402133333.3333333,84,0.03518640034343286,47,0.31776519651631674,0.6714999873184199,0.2944267005943108,2.4490808003374225,778,0.40622347584093277,0.16338893024243595,402133333.3333333
18,400533333.3333333,96,0.03938883740019824,66,0.26046167947087306,0.6683629014958616,1.6425827450111898,1.0365634996666044,705,0.466653974607553,0.13422498894164903,400533333.3333333
25,400000000.0,111,0.03422734176412123,85,0.3238111124654441,0.5966356985148967,0.06166622133085831,1.1376803804500613,670,0.4868876304885691,0.21358732933844304,400000000.0
44,399733333.3333333,98,0.04274973240720519,48,0.32234696112762673,0.5726261041443217,0.263990501035722,1.6423137886544117,633,0.5178598658169791,0.14870614582172537,399733333.3333333
19,399466666.6666667,104,0.03558969786208841,69,0.2514465790747236,0.6670563817903147,0.711984251312999,0.45993386121683577,706,0.4423436687399966,0.11125236908495378,399466666.6666667
39,399200000.0,137,0.02241203664758978,64,0.2952302328292273,0.6360593705153791,2.722392633579176,0.20086177317279708,629,0.7731833411854987,0.4416447558959792,399200000.0
24,398666666.6666667,109,0.04550143967399676,63,0.2551262769840131,0.5886987067452039,0.008554465808660039,1.6678131039356523,663,0.6123294174055145,0.1160846469018073,398666666.6666667
29,398400000.0,149,0.02526585953391135,100,0.32842748397409643,0.4710240291767406,1.8813109493829925,0.0005844662680798418,816,0.47792927077130865,0.2641666977722225,398400000.0
42,398133333.3333333,123,0.03616082632753959,87,0.2996172548715476,0.8066227399418439,2.115241397510372,0.25970214489768706,477,0.9411432582693238,0.43650587557752174,398133333.3333333
23,397600000.0,102,0.04503053527957976,66,0.2535524539429296,0.6729540620344124,0.905163082815934,1.828052762547025,750,0.5976119873946588,0.1204980658921756,397600000.0
