feature,importance_gain,importance_split
slope_Master_fultimo_cierre_6_window,2590.4910922050476,270
slope_mtransferencias_emitidas_6_window,2585.0818688869476,183
slope_Master_Fvencimiento_6_window,2557.4534137248993,274
ccuenta_debitos_automaticos_delta_mean_8,2550.8713150024414,170
tmora_total,2545.106538772583,22
ccallcenter_transacciones_delta_mean_8,2532.307332754135,181
slope_mrentabilidad_annual_6_window,2488.401766061783,223
cproductos_uso_ratio_delta_mean_8,2468.0444626808167,192
slope_muso_credito_ratio_6_window,2459.490488767624,185
Visa_msaldototal,2445.2754011154175,166
ccomisiones_mantenimiento,2439.677271127701,55
ccajas_transacciones_delta_mean_8,2420.916570186615,203
tsin_sueldo_mes,2418.4008388519287,21
slope_mrentabilidad_media_mensual_6_window,2399.607753276825,250
thomebanking_delta_mean_8,2398.655757188797,206
ctrx_quarter_delta_3,2391.1988427639008,239
slope_Visa_mpagominimo_6_window,2382.8715834617615,195
slope_mtransferencias_recibidas_6_window,2381.5595519542694,221
TC_Total_mconsumototal,2359.9325246810913,109
TC_Total_cconsumos_delta_mean_8,2355.8793573379517,167
Master_mlimitecompra,2338.7786507606506,227
mcaja_ahorro_adicional,2302.1077892780304,199
cuso_digital_ratio_delta_mean_8,2264.647261619568,255
ctarjeta_visa_transacciones_delta_3,2260.0729336738586,143
slope_mingresos_mensuales_6_window,2257.7885513305664,158
slope_mcomisiones_ratio_6_window,2246.572211265564,225
ccajas_consultas_delta_mean_8,2230.3725085258484,204
ctrx_quarter_delta_2,2229.9218192100525,174
ctarjeta_visa_debitos_automaticos_delta_mean_4,2226.7423782348633,115
slope_mflujo_netotransf_6_window,2188.651006937027,226
slope_msaldo_total_dolares_6_window,2188.3910250663757,196
slope_mcomisiones_otras_6_window,2157.1501750946045,170
chomebanking_transacciones,2139.955173254013,181
cactividad_total,2130.9041776657104,201
tcallcenter_delta_mean_8,2129.6434342861176,157
ctransferencias_emitidas_delta_mean_8,2127.8602538108826,197
slope_mactivos_margen_6_window,2126.6331882476807,173
slope_Visa_mfinanciacion_limite_6_window,2122.639344215393,181
Master_mpagospesos,2118.6117491722107,124
slope_mrentabilidad_6_window,2112.2607486248016,188
slope_mmargen_total_6_window,2107.699251651764,160
