feature,importance_gain,importance_split
slope_Visa_mpagado_6_window,3420.7478596270084,618
slope_mcuenta_debitos_automaticos_12_window,3409.8950908482075,775
slope_mcomisiones_mantenimiento_6_window,3382.69230055809,796
slope_msaldo_total_pesos_6_window,3381.9267446398735,572
slope_mrentabilidad_media_mensual_3_window,3363.9821407347918,901
cuso_tarjeta_ratio_delta_4,3361.8823495209217,852
chomebanking_transacciones_delta_4,3356.8916900753975,859
slope_Visa_mfinanciacion_limite_2_window,3333.5695063471794,775
cproductos_uso_ratio_delta_4,3289.1003682613373,874
chomebanking_transacciones_delta_3,3285.619549483061,799
slope_mmargen_por_producto_12_window,3282.1208395957947,691
ccaja_seguridad,3276.308863684535,147
slope_msaldo_vs_movimientos_ratio_3_window,3269.37397813797,857
slope_mtransferencias_emitidas_6_window,3251.577127933502,576
slope_mflujo_netotransf_2_window,3240.541342139244,589
slope_mrentabilidad_6_window,3236.4022867381573,718
slope_msaldo_vs_movimientos_ratio_2_window,3218.427229434252,680
slope_mpasivos_margen_6_window,3218.043481707573,747
muso_credito_ratio,3208.3442486822605,407
slope_mrentabilidad_12_window,3204.0968761742115,653
ccaja_ahorro,3203.192830234766,267
slope_mrentabilidad_media_mensual_2_window,3131.8432124853134,835
slope_mextraccion_autoservicio_12_window,3124.8313413858414,694
slope_mforex_sell_12_window,3097.699410647154,629
slope_mrentabilidad_annual_3_window,3096.738480731845,685
chomebanking_transacciones_delta_2,3079.5153208673,819
slope_matm_other_12_window,3063.3820807635784,680
slope_msaldo_total_6_window,3057.457439303398,643
slope_msaldo_total_dolares_12_window,3057.324631392956,603
slope_mflujo_netotransf_3_window,3038.38132750988,671
ctarjeta_visa_transacciones_delta_4,3024.9517209231853,568
slope_mactivos_margen_2_window,3009.626936018467,632
mflujo_netotransf,3007.966645002365,595
chomebanking_transacciones,2977.965228110552,613
cprestamos_personales_delta_4,2976.1616809666157,253
mrentabilidad_annual,2970.316339701414,708
slope_mrentabilidad_2_window,2948.4188834428787,657
slope_mrentabilidad_vs_margen_3_window,2945.2416973412037,809
msaldo_total_dolares,2907.6708636283875,399
Visa_mpagominimo,2870.5479039251804,483
slope_Visa_mfinanciacion_limite_3_window,2842.1495901942253,694
slope_mrentabilidad_vs_margen_2_window,2833.6109388172626,749
slope_Master_mfinanciacion_limite_2_window,2821.3520412147045,674
slope_Master_msaldopesos_12_window,2814.958182364702,528
slope_Visa_mpagominimo_6_window,2795.7555682957172,635
cproductos_uso_ratio_delta_2,2766.11838427186,774
slope_matm_12_window,2755.2532964646816,623
slope_mcuentas_saldo_6_window,2745.8235805928707,609
ccanales_activos,2719.9243344962597,166
Visa_mconsumospesos,2703.0823733210564,573
slope_Visa_mlimitecompra_12_window,2696.9294418394566,569
slope_mautoservicio_6_window,2692.9256741404533,572
cdescubierto_preacordado_delta_3,2687.1946491003036,57
Visa_mpagospesos,2684.4965187609196,619
slope_mcomisiones_6_window,2675.2441598773003,669
Visa_cconsumos_delta_4,2656.9657482504845,550
slope_mpasivos_margen_2_window,2641.344722568989,476
mmargen_total,2618.6264675855637,496
slope_msaldo_total_3_window,2607.1277108192444,608
slope_muso_credito_ratio_6_window,2606.042584300041,518
slope_mingresos_vs_saldo_ratio_12_window,2601.7823066711426,431
slope_msaldo_total_pesos_2_window,2601.299407720566,481
mcomisiones,2593.6872316896915,551
mingresos_vs_saldo_ratio,2587.7232103943825,136
mcomisiones_otras,2578.89618614316,491
TC_Total_fultimo_cierre,2564.331334590912,622
slope_mcomisiones_ratio_3_window,2559.284563958645,633
slope_mcuentas_saldo_2_window,2548.519056737423,517
slope_Visa_mconsumosdolares_6_window,2539.3412034213543,556
Visa_cconsumos_delta_3,2531.424272686243,500
slope_Master_mlimitecompra_12_window,2529.4884893894196,501
slope_mttarjeta_visa_debitos_automaticos_6_window,2524.542747914791,485
slope_mextracciones_ratio_6_window,2465.609398275614,592
slope_mmargen_por_producto_2_window,2455.8689708411694,513
slope_mcomisiones_mantenimiento_2_window,2430.9284586012363,517
ctarjeta_debito_transacciones_delta_4,2415.5820704102516,479
slope_mmargen_total_12_window,2411.9176066219807,577
slope_mcomisiones_mantenimiento_3_window,2408.742496550083,603
cactividad_total_delta_3,2405.3211564421654,727
slope_mrentabilidad_annual_2_window,2404.0793839395046,636
mautoservicio,2400.81716530025,284
slope_mlimite_tarjetas_total_6_window,2399.833861261606,525
cproductos_uso_ratio,2394.018406420946,582
slope_mlimite_tarjetas_total_12_window,2388.4232767522335,541
cactividad_total_delta_2,2370.572100162506,657
slope_mrentabilidad_3_window,2364.242735207081,586
slope_mmargen_por_producto_6_window,2345.31431889534,571
slope_msaldo_total_pesos_3_window,2342.9802555143833,537
slope_msaldo_total_2_window,2334.4488494098186,534
slope_mcuenta_debitos_automaticos_6_window,2329.111934363842,504
slope_mtransferencias_recibidas_2_window,2300.5793740451336,437
slope_mcomisiones_ratio_2_window,2286.9872502684593,636
slope_Visa_mconsumospesos_2_window,2285.5433165431023,528
mmargen_por_cuenta_ratio,2270.1051068007946,333
slope_Visa_mconsumototal_12_window,2267.584512144327,476
internet,2263.3452443778515,235
slope_Visa_mlimitecompra_6_window,2261.1249628961086,485
Visa_cconsumos_delta_2,2235.1802493929863,500
ctarjeta_debito,2227.2112840116024,600
slope_mcomisiones_otras_6_window,2183.094173669815,554
ctarjeta_visa_transacciones_delta_3,2160.2909516990185,429
slope_Visa_mconsumospesos_3_window,2158.1554529368877,490
slope_mcaja_ahorro_dolares_6_window,2142.121875554323,471
slope_mcuentas_saldo_3_window,2117.753460139036,518
slope_mtransferencias_recibidas_3_window,2114.968136936426,417
slope_matm_6_window,2105.286927819252,423
slope_Visa_mpagosdolares_12_window,2090.4192169755697,474
slope_Master_mconsumospesos_6_window,2086.658262372017,455
mmargen_por_producto,2085.708294034004,525
Visa_cconsumos,2075.539541453123,442
slope_mextraccion_autoservicio_6_window,2074.8237113058567,393
slope_mdeuda_tarjetas_total_12_window,2061.5925002098083,441
ccanales_activos_delta_4,2056.632149964571,362
slope_mmargen_por_cuenta_ratio_12_window,2035.5105575919151,426
slope_Master_mpagominimo_12_window,2021.0291206538677,426
slope_mcuenta_debitos_automaticos_3_window,2018.498954564333,417
ctransferencias_recibidas_delta_4,2008.1152330040932,569
ccanales_activos_delta_2,1989.3966842591763,329
slope_Visa_mpagospesos_2_window,1971.3566831350327,446
slope_Master_mlimitecompra_6_window,1967.4314184188843,415
slope_mpagomiscuentas_6_window,1949.5078834593296,434
slope_Visa_msaldopesos_6_window,1946.9395810961723,414
mttarjeta_visa_debitos_automaticos,1942.8778176158667,374
TC_Total_mfinanciacion_limite,1930.0575376152992,442
slope_mmargen_total_6_window,1891.8577266931534,437
mcaja_ahorro_dolares,1887.4410876631737,395
cmobile_app_trx,1873.9444217085838,367
slope_Visa_mpagospesos_3_window,1873.8800112605095,423
slope_mlimite_tarjetas_total_3_window,1873.6550057530403,367
ccomisiones_mantenimiento,1863.6181237846613,150
slope_msaldo_total_dolares_6_window,1861.3242233395576,404
ccallcenter_transacciones_delta_3,1858.1824061274529,325
slope_mmargen_por_producto_3_window,1831.391602486372,470
slope_Visa_msaldodolares_12_window,1826.0865258574486,486
slope_mttarjeta_visa_debitos_automaticos_3_window,1811.079410135746,369
slope_muso_credito_ratio_3_window,1789.6388315409422,297
slope_Master_mpagospesos_6_window,1782.530812650919,439
slope_mcaja_ahorro_3_window,1779.300686955452,406
slope_Visa_mconsumototal_6_window,1764.8531912267208,388
