feature,importance_gain,importance_split
slope_mrentabilidad_3_window,508.94410943984985,62
cliente_antiguedad_lag_1,508.69263339042664,55
Visa_mpagominimo_delta_1,505.7731580734253,63
slope_mpagomiscuentas_3_window,504.94815850257874,49
mcomisiones_otras_lag_1,503.25271916389465,39
slope_mcomisiones_mantenimiento_2_window,501.9879550933838,53
slope_chomebanking_transacciones_2_window,497.2263584136963,59
slope_cliente_antiguedad_2_window,489.85060811042786,53
mcaja_ahorro_delta_1,488.65849232673645,66
Master_mfinanciacion_limite_delta_1,482.95993852615356,53
slope_mcaja_ahorro_3_window,472.0446105003357,54
mcomisiones,469.97729086875916,61
slope_ccomisiones_otras_3_window,469.92331051826477,43
slope_mprestamos_personales_2_window,468.75110697746277,19
mcomisiones_delta_2,468.00858783721924,47
slope_TC_Total_fechaalta_2_window,465.95562076568604,53
slope_Visa_Fvencimiento_3_window,462.1143629550934,62
cproductos_delta_2,460.7900686264038,20
ctrx_30d_delta_1,451.3594819307327,52
mpayroll_delta_2,449.4194769859314,49
mcuentas_saldo_lag_2,447.7692403793335,50
mcuenta_corriente_lag_2,443.70115208625793,53
slope_Master_Fvencimiento_2_window,443.50963973999023,51
Visa_cconsumos_lag_1,441.19629192352295,40
slope_TC_Total_fechaalta_3_window,441.1087477207184,50
mttarjeta_visa_debitos_automaticos,440.65466141700745,55
mcomisiones_otras,439.7158569097519,58
slope_TC_Total_Fvencimiento_2_window,438.4875178337097,44
mrentabilidad_lag_1,438.01492977142334,59
Visa_cconsumos,437.3913495540619,49
slope_ctarjeta_debito_transacciones_3_window,437.3756275177002,45
Visa_mpagospesos_delta_1,435.185639500618,63
slope_Visa_cconsumos_3_window,432.0666677951813,39
mcaja_ahorro_lag_1,431.19192242622375,50
mrentabilidad_lag_2,429.6256217956543,59
mtransferencias_recibidas_lag_1,428.88357043266296,39
mcomisiones_mantenimiento_lag_1,428.52183055877686,36
Visa_Fvencimiento_lag_1,428.297132730484,55
slope_Visa_cconsumos_2_window,427.66531801223755,45
slope_cprestamos_personales_3_window,426.5619559288025,22
slope_mcaja_ahorro_dolares_3_window,425.0593001842499,49
mpasivos_margen_delta_1,424.5759787559509,62
Visa_Fvencimiento_lag_2,423.68123054504395,55
uso_tarjeta_ratio_delta_2,423.5227777957916,48
cdescubierto_preacordado_delta_1,419.57777881622314,11
ctarjeta_debito,418.74196696281433,44
slope_ctransferencias_emitidas_2_window,418.1348080635071,57
mpasivos_margen_delta_2,416.19104075431824,54
ctrx_quarter_lag_1,415.733962059021,51
TC_Total_mpagominimo_lag_1,415.4486973285675,32
Master_mfinanciacion_limite_delta_2,413.6337583065033,43
slope_Visa_mconsumospesos_2_window,410.6433734893799,45
mplazo_fijo_dolares,407.3644541501999,35
TC_Total_Fvencimiento_lag_1,407.15996861457825,55
slope_Visa_Fvencimiento_2_window,406.71608090400696,50
