feature,importance_gain,importance_split
slope_Visa_mfinanciacion_limite_2_window,1905.0604869872332,714
slope_mrentabilidad_vs_margen_3_window,1902.0290934816003,887
slope_mflujo_netotransf_3_window,1888.3630123138428,716
ccanales_activos,1883.448761999607,190
slope_msaldo_total_3_window,1878.8950972259045,670
slope_mflujo_netotransf_2_window,1873.381527647376,593
cproductos_delta_3,1870.229057945311,276
mflujo_netotransf,1850.729403540492,614
mrentabilidad_annual,1845.5574491024017,640
slope_msaldo_vs_movimientos_ratio_3_window,1834.9928767830133,809
slope_mrentabilidad_12_window,1831.9043118357658,661
slope_mtransferencias_emitidas_6_window,1827.5225548446178,574
slope_mrentabilidad_2_window,1824.3848208338022,712
slope_mcuentas_saldo_6_window,1818.394340030849,656
Visa_mpagominimo,1806.3351370096207,477
slope_Master_mfinanciacion_limite_2_window,1801.8593378663063,749
mtransferencias_recibidas,1794.9347665905952,465
slope_mttarjeta_visa_debitos_automaticos_12_window,1790.8183414191008,655
slope_mcuenta_debitos_automaticos_12_window,1786.3710737749934,714
mmargen_por_producto,1783.7848035246134,625
slope_mcaja_ahorro_dolares_12_window,1779.940771304071,599
slope_mflujo_netotransf_6_window,1776.320266455412,719
cproductos_uso_ratio_delta_3,1768.2975767552853,805
chomebanking_transacciones_delta_3,1763.4238103032112,814
mcuenta_debitos_automaticos,1761.3269761577249,451
cuso_tarjeta_ratio_delta_3,1761.2036912590265,779
cproductos_uso_ratio_delta_4,1751.1165082454681,809
cproductos_delta_4,1748.31496091187,316
slope_mpagomiscuentas_12_window,1738.0734918266535,661
slope_msaldo_total_pesos_3_window,1721.1539944261312,664
slope_mrentabilidad_annual_3_window,1719.0772297382355,734
slope_msaldo_total_6_window,1715.629401102662,699
slope_mrentabilidad_media_mensual_2_window,1711.12655210495,787
slope_mmargen_por_producto_12_window,1707.9363611340523,677
ctarjeta_visa_transacciones_delta_4,1700.9336363822222,555
cactividad_total_delta_4,1691.6495379805565,757
slope_mprestamos_personales_2_window,1690.5147009938955,354
chomebanking_transacciones_delta_2,1686.1730102449656,843
chomebanking_transacciones_delta_4,1679.403236694634,895
slope_mcuentas_saldo_2_window,1665.6910196468234,614
slope_mextraccion_autoservicio_12_window,1661.1696202158928,595
slope_mcuentas_saldo_3_window,1648.8801404163241,676
slope_Visa_msaldopesos_12_window,1643.3420040011406,628
slope_mcomisiones_ratio_2_window,1624.0047057718039,728
slope_mmargen_total_12_window,1608.3897717893124,634
slope_mrentabilidad_annual_2_window,1602.9665416032076,714
slope_matm_12_window,1597.1746658533812,570
slope_mrentabilidad_vs_margen_2_window,1593.723218858242,804
mautoservicio,1586.2606184408069,339
slope_mcomisiones_ratio_3_window,1584.304600596428,673
cproductos_uso_ratio_delta_2,1574.3615103811026,751
cdescubierto_preacordado_delta_3,1570.183826804161,39
