feature,importance_gain,importance_split
Visa_mpagominimo_lag_1,2564.7771493941545,626
ccomisiones_otras,2557.986073434353,794
cproductos_lag_2,2529.8256499022245,817
mtransferencias_emitidas_lag_1,2517.9212888479233,690
TC_Total_mfinanciacion_limite,2482.397766187787,693
cliente_antiguedad_lag_1_1,2416.0519235134125,832
mcuentas_saldo_lag_1_1,2405.647221505642,604
mtransferencias_emitidas,2400.0980301350355,663
mcuenta_debitos_automaticos_lag_2,2336.60458278656,714
Visa_mpagospesos_lag_1,2336.388522192836,722
mactivos_margen_lag_1_1,2319.045923575759,706
actividad_total_lag_1,2318.668871998787,780
mttarjeta_visa_debitos_automaticos,2266.417026013136,582
cproductos_lag_1,2253.836548894644,677
mrentabilidad_lag_1_1,2238.4717282503843,679
Visa_msaldototal,2216.343041703105,315
ccaja_seguridad,2214.9360052272677,135
Visa_Fvencimiento_lag_1_1,2181.020425438881,703
ctransferencias_recibidas,2171.262483343482,609
TC_Total_mfinanciacion_limite_lag_1,2156.025898426771,540
ctransferencias_recibidas_lag_2,2145.6372294574976,586
mtransferencias_emitidas_lag_2,2144.574287325144,709
Master_mpagospesos_lag_2,2106.7775492817163,673
Visa_cconsumos,2079.07401406765,617
uso_digital_ratio_lag_1_1,2078.732554733753,644
Visa_mlimitecompra,2075.867306575179,668
TC_Total_mfinanciacion_limite_lag_2,2073.26277461648,597
mttarjeta_visa_debitos_automaticos_lag_1,2024.7419649511576,521
ctrx_60d_lag_2,2013.15505951643,539
Visa_cconsumos_lag_1,2005.0456445217133,553
mpayroll_lag_2,1997.6214071512222,313
TC_Total_mpagospesos_lag_2,1970.1954479813576,492
TC_Total_mpagominimo_lag_1,1950.3751833587885,468
ctarjeta_debito_transacciones_lag_2,1920.7224359065294,518
ctarjeta_visa,1911.389848381281,30
mautoservicio_lag_2,1906.1906666457653,555
mcaja_ahorro_lag_1_1,1900.8470652401447,442
ccaja_ahorro,1887.9088155180216,310
mcaja_ahorro_dolares_lag_1_1,1827.3743270486593,496
Master_status,1783.1808758080006,150
Master_mpagominimo,1780.849324144423,343
mpagomiscuentas_lag_2,1760.3802097141743,475
mautoservicio_lag_1,1727.4817883968353,534
ctarjeta_visa_transacciones_lag_2,1703.8309949934483,370
cmobile_app_trx_lag_2,1702.0636540353298,475
ccajas_consultas,1700.6073000654578,289
TC_Total_fultimo_cierre_lag_2,1697.3573668599129,566
internet_lag_2,1693.2693034261465,309
TC_Total_Fvencimiento_lag_1_1,1693.030370309949,521
mextraccion_autoservicio_lag_2,1691.1252498328686,443
TC_Total_fultimo_cierre_lag_1,1689.0632354021072,501
internet,1676.8922621160746,306
ctarjeta_debito_transacciones,1671.8730502724648,425
ctarjeta_debito_lag_2,1665.2978567183018,527
ctrx_60d,1642.0995916724205,382
Visa_fechaalta_lag_1_1,1635.5888468772173,464
mpasivos_margen_lag_1_1,1616.7904801368713,481
Visa_msaldopesos_lag_2,1596.6170935630798,460
mextraccion_autoservicio,1596.0398159325123,421
ctarjeta_visa_debitos_automaticos_lag_2,1595.2423034012318,373
ctransferencias_recibidas_lag_1,1595.240333929658,514
ccomisiones_otras_lag_1_1,1592.8199252188206,392
Master_mconsumospesos_lag_2,1576.1338464021683,427
ctarjeta_debito,1569.9537494629622,519
tcallcenter,1563.6896288990974,40
Master_fechaalta_lag_1_1,1531.2103984951973,400
ctransferencias_emitidas_lag_2,1524.4302886873484,398
Master_mlimitecompra,1511.7175126969814,490
Master_mpagospesos,1483.9354243427515,402
cextraccion_autoservicio,1472.551928728819,310
ctarjeta_master,1467.557606831193,33
ctrx_90d_lag_1,1464.9589728713036,431
ccallcenter_transacciones,1460.9507716149092,498
TC_Total_mpagominimo_lag_1_1,1454.9215562343597,184
TC_Total_mconsumospesos_lag_2,1431.6603617966175,408
TC_Total_msaldopesos_lag_2,1418.13139462471,364
cprestamos_personales_lag_2,1412.250460371375,468
ctrx_60d_lag_1,1405.6728295385838,367
mpagomiscuentas_lag_1,1400.5188661515713,437
TC_Total_msaldototal_lag_2,1364.1055062115192,351
ctrx_90d,1356.9677890390158,391
ctarjeta_visa_debitos_automaticos_lag_1,1339.9142548143864,311
mtarjeta_master_consumo,1335.3157141506672,164
Master_msaldopesos,1329.886309236288,343
ctarjeta_debito_lag_1,1323.3707118481398,445
TC_Total_fechaalta_lag_1_1,1321.769465714693,319
matm_lag_2,1320.6414909809828,355
TC_Total_mconsumospesos,1313.770941913128,351
TC_Total_mlimitecompra,1304.2314683645964,448
Master_mconsumospesos,1300.1284301877022,334
ctarjeta_debito_transacciones_lag_1,1282.0296088457108,414
actividad_total_lag_1_1,1281.0598539412022,384
Visa_msaldopesos_lag_1,1279.0811132490635,394
ctarjeta_visa_transacciones_lag_1,1270.973441451788,317
Visa_mconsumototal_lag_2,1259.9656738638878,338
Visa_mlimitecompra_lag_2,1257.041563168168,387
Master_mfinanciacion_limite_lag_1_1,1252.1302439421415,380
Master_mlimitecompra_lag_2,1248.95486459136,354
mtransferencias_recibidas_lag_1_1,1239.913001358509,376
mextraccion_autoservicio_lag_1,1239.2996739298105,369
TC_Total_mconsumospesos_lag_1,1234.2887007892132,323
mplazo_fijo_dolares,1220.9071349352598,147
Visa_mconsumosdolares_lag_2,1215.481231763959,393
ctransferencias_emitidas,1201.7065888494253,374
TC_Total_mlimitecompra_lag_2,1196.2331992685795,382
Master_mpagospesos_lag_1,1189.414174824953,422
TC_Total_mconsumosdolares_lag_2,1189.2073894292116,311
TC_Total_cconsumos_lag_2,1186.2204792797565,329
cextraccion_autoservicio_lag_2,1178.4342147409916,321
mtarjeta_visa_consumo_lag_2,1171.1460901498795,292
mcomisiones_lag_1_1,1171.0478817224503,341
Master_fultimo_cierre_lag_1_1,1170.1046237796545,350
Visa_fultimo_cierre_lag_1_1,1161.2393689602613,321
Master_msaldopesos_lag_1,1158.0203644931316,201
Visa_mconsumosdolares,1144.6760710179806,315
Master_mconsumospesos_lag_1,1128.1185625046492,345
matm,1116.3279604017735,302
cprestamos_personales_lag_1,1114.6059329211712,349
tmobile_app,1099.424700923264,101
ctrx_30d_lag_2,1097.8369141817093,309
Visa_mfinanciacion_limite_lag_1_1,1095.9284234642982,359
ccuenta_debitos_automaticos,1084.7028827369213,242
Visa_mpagado_lag_2,1081.0195282101631,320
ccajas_transacciones,1077.3217489942908,111
TC_Total_mpagado,1064.7180941402912,335
Visa_mconsumototal_lag_1,1049.9385632574558,286
TC_Total_mpagospesos_lag_1,1045.1220206171274,267
TC_Total_mpagospesos,1040.9728426337242,275
ctarjeta_visa_debitos_automaticos,1037.0451825261116,303
mprestamos_personales_lag_1_1,1036.751471951604,168
Master_msaldototal,1034.7986970692873,213
ccuenta_debitos_automaticos_lag_2,1028.6724453568459,240
Visa_mpagospesos_lag_1_1,1017.5986398160458,361
ctrx_30d_lag_1,1016.1167820692062,285
mtarjeta_visa_consumo_lag_1,1015.214026004076,229
mplazo_fijo_dolares_lag_2,1002.6553674936295,203
cdescubierto_preacordado_lag_2,997.789708852768,124
Master_mpagominimo_lag_2,992.2700481116772,229
Visa_mconsumosdolares_lag_1,986.7819444835186,296
cpagomiscuentas_lag_2,981.4573300778866,307
mcomisiones_mantenimiento_lag_1_1,976.3153352737427,341
TC_Total_status,975.9238340556622,26
ctransferencias_emitidas_lag_1,970.9151409268379,303
cpagomiscuentas,968.5657828003168,237
Visa_mconsumototal,964.7435683310032,291
canales_activos_lag_1,962.3712083399296,199
TC_Total_cconsumos_lag_1,959.450492978096,241
ccaja_seguridad_lag_1,954.7536201775074,34
Visa_mlimitecompra_lag_1,950.2510004639626,299
cplazo_fijo,949.946938559413,119
TC_Total_msaldototal_lag_1,940.8773962557316,265
TC_Total_mlimitecompra_lag_1,918.6285984665155,303
TC_Total_cconsumos,906.0032094717026,259
TC_Total_msaldopesos_lag_1,905.5064513683319,232
ccajas_otras,903.8008359670639,141
cextraccion_autoservicio_lag_1,901.6578423082829,236
Master_mpagominimo_lag_1,901.3661937117577,201
cpagomiscuentas_lag_1,894.1148979514837,262
tcuentas_lag_1,893.5034127831459,24
chomebanking_transacciones_lag_1_1,890.555014103651,286
Visa_mpagado,888.7055640220642,344
ccuenta_debitos_automaticos_lag_1,880.1250059902668,243
Visa_mpagominimo_lag_1_1,870.6698079705238,232
Visa_msaldototal_lag_2,856.5454953312874,289
mcomisiones_otras_lag_1_1,840.9239887520671,326
mcuenta_debitos_automaticos_lag_1_1,834.2398417592049,239
Visa_cconsumos_lag_1_1,832.8952069282532,210
mtransferencias_emitidas_lag_1_1,830.0320271849632,245
mautoservicio_lag_1_1,829.7203536331654,201
TC_Total_mpagado_lag_1,829.034886136651,259
uso_tarjeta_ratio_lag_1_1,828.6415931582451,271
matm_lag_1,811.6117278337479,259
Master_mlimitecompra_lag_1,802.0610135495663,246
TC_Total_mpagado_lag_2,801.8092455565929,243
TC_Total_mconsumosdolares_lag_1,796.7485573887825,196
Master_cconsumos,765.4038459658623,177
canales_activos_lag_2,759.185779824853,280
usa_app_o_homebanking,756.504296451807,56
mttarjeta_visa_debitos_automaticos_lag_1_1,741.5141642391682,214
TC_Total_mconsumototal_lag_2,721.1675030142069,178
catm_trx_lag_2,704.4447319209576,235
cproductos_lag_1_1,682.388024866581,204
TC_Total_mconsumosdolares,681.4856036007404,194
matm_other_lag_2,679.5459015518427,239
Visa_mpagado_lag_1,677.6657988131046,250
mplazo_fijo_dolares_lag_1,672.0248996913433,160
Visa_msaldototal_lag_1,671.8250571042299,200
cmobile_app_trx_lag_1,671.8092916607857,126
ccaja_ahorro_lag_1,668.0274911522865,187
ccomisiones_mantenimiento_lag_1,664.0414247065783,170
ctrx_90d_lag_1_1,656.3479582369328,169
catm_trx,652.1527501344681,204
Master_msaldopesos_lag_2,650.0779345035553,230
tcuentas_lag_2,643.2248502224684,107
TC_Total_fultimo_cierre_lag_1_1,637.3973480165005,171
ccallcenter_transacciones_lag_1,632.5627468973398,315
Master_cconsumos_lag_1,627.3898757249117,171
ccaja_ahorro_lag_2,617.5774914324284,226
Master_cconsumos_lag_2,617.2175351977348,200
Master_mconsumototal,615.2873726785183,153
Master_mpagospesos_lag_1_1,612.6600214242935,179
Visa_msaldodolares,596.5178033411503,134
matm_other,580.9560229182243,208
mtarjeta_master_consumo_lag_2,560.2344144433737,132
TC_Total_mconsumototal_lag_1,559.6240817010403,139
cseguro_accidentes_personales_lag_2,558.2608580589294,136
TC_Total_msaldodolares_lag_2,534.5433084368706,114
ctarjeta_visa_transacciones_lag_1_1,533.6868809461594,123
Visa_msaldopesos_lag_1_1,532.0112034678459,134
mtarjeta_master_consumo_lag_1,528.0263984501362,106
mprestamos_prendarios,523.6664018929005,90
ccallcenter_transacciones_lag_2,523.0523112416267,278
ctarjeta_debito_transacciones_lag_1_1,520.7523535192013,142
mpagomiscuentas_lag_1_1,519.0058615803719,129
catm_trx_other_lag_2,513.5046332478523,165
catm_trx_lag_1,511.4864768087864,166
matm_other_lag_1,504.33386458456516,184
TC_Total_mconsumototal,504.3285292685032,146
cprestamos_personales_lag_1_1,503.01737627387047,134
Visa_msaldodolares_lag_2,502.85071763396263,100
TC_Total_msaldototal_lag_1_1,501.0433259010315,110
ctransferencias_recibidas_lag_1_1,500.75639471411705,177
Master_msaldototal_lag_1,493.8319511115551,146
Master_mconsumototal_lag_1,484.15419641137123,111
TC_Total_msaldopesos_lag_1_1,471.8268266618252,88
ctransferencias_emitidas_lag_1_1,464.9125192910433,126
mextraccion_autoservicio_lag_1_1,455.92727571725845,105
cmobile_app_trx,454.83511248230934,130
thomebanking_lag_2,448.38746428489685,73
ctarjeta_debito_lag_1_1,443.0533372759819,175
Master_msaldototal_lag_2,436.56057319045067,158
Master_mconsumototal_lag_2,436.05360063910484,140
Visa_mconsumosdolares_lag_1_1,432.411729067564,115
mtarjeta_visa_consumo_lag_1_1,430.33544421195984,101
Master_msaldopesos_lag_1_1,427.5354807972908,88
mttarjeta_master_debitos_automaticos,420.20205618441105,98
ctrx_60d_lag_1_1,406.7647871673107,131
Visa_mconsumospesos_lag_1_1,404.9641486108303,115
mttarjeta_master_debitos_automaticos_lag_2,398.8727577030659,122
TC_Total_cconsumos_lag_1_1,395.72217574715614,109
mprestamos_prendarios_lag_2,388.61134147644043,45
ctrx_30d_lag_1_1,374.3389310836792,93
ccajas_extracciones_lag_2,372.18524250388145,108
mforex_sell_lag_2,363.4687718153,127
thomebanking,358.95737274736166,75
TC_Total_mpagospesos_lag_1_1,354.06519593298435,101
TC_Total_mfinanciacion_limite_lag_1_1,350.9367831349373,116
cseguro_vivienda_lag_2,346.801114410162,96
minversion1_pesos,346.0865366756916,72
Visa_mlimitecompra_lag_1_1,337.3695274889469,104
active_quarter,335.4364413768053,103
mplazo_fijo_dolares_lag_1_1,334.11333417892456,50
TC_Total_mpagado_lag_1_1,313.1000107526779,73
active_quarter_lag_1,311.64774203300476,68
ctarjeta_master_transacciones_lag_2,308.5574361681938,92
catm_trx_other,307.2558043003082,112
ccaja_ahorro_lag_1_1,306.3387492597103,80
TC_Total_msaldodolares,306.0411330163479,86
ctarjeta_visa_debitos_automaticos_lag_1_1,303.41073420643806,105
Visa_mpagado_lag_1_1,298.3426199257374,103
catm_trx_other_lag_1,295.700611487031,110
ctarjeta_master_transacciones,291.53812973201275,74
cseguro_vida_lag_2,288.45245836675167,87
canales_activos_lag_1_1,288.2088061273098,67
internet_lag_1_1,284.7962875366211,100
Visa_status_lag_1,276.51088443398476,23
mttarjeta_master_debitos_automaticos_lag_1,273.24924778938293,84
cdescubierto_preacordado_lag_1,272.415156185627,95
cseguro_accidentes_personales_lag_1,261.3872593641281,75
matm_lag_1_1,261.33027654886246,92
